year,jurisdiction,combo
2011-12,NSW,3325.654296
2011-12,Vic,3360.445565
2011-12,Qld,2997.356068
2011-12,SA,3054.912539
2011-12,WA,3654.73332
2011-12,Tas,2331.266525
2011-12,NT,2120.608537
2011-12,ACT,3179.509232
2011-12,all states,3245.553709
2012-13,NSW,3497.666115
2012-13,Vic,3418.636658
2012-13,Qld,3053.36625
2012-13,SA,3216.918949
2012-13,WA,4022.398473
2012-13,Tas,2436.436745
2012-13,NT,2463.054187
2012-13,ACT,3256.874454
2012-13,all states,3385.594999
2013-14,NSW,3731.218154
2013-14,Vic,3627.208176
2013-14,Qld,3230.220263
2013-14,SA,3225.168231
2013-14,WA,4174.746262
2013-14,Tas,2522.343401
2013-14,NT,2769.248547
2013-14,ACT,3354.749196
2013-14,all states,3572.272153
2014-15,NSW,4013.39774
2014-15,Vic,3844.55793
2014-15,Qld,3379.420942
2014-15,SA,3404.982674
2014-15,WA,4264.778521
2014-15,Tas,2645.708505
2014-15,NT,3410.874428
2014-15,ACT,3512.925371
2014-15,all states,3782.138245
2015-16,NSW,4357.222364
2015-16,Vic,4066.272896
2015-16,Qld,3364.875223
2015-16,SA,3441.510443
2015-16,WA,4376.419147
2015-16,Tas,2769.083992
2015-16,NT,2986.603302
2015-16,ACT,3931.065951
2015-16,all states,3965.67278
2016-17,NSW,4505.379218
2016-17,Vic,4248.772151
2016-17,Qld,3421.091805
2016-17,SA,3455.805287
2016-17,WA,4195.875661
2016-17,Tas,2841.422828
2016-17,NT,2993.707933
2016-17,ACT,4159.621487
2016-17,all states,4058.765173
2017-18,NSW,4502.756693
2017-18,Vic,4423.616986
2017-18,Qld,3464.588062
2017-18,SA,3546.439849
2017-18,WA,4196.993452
2017-18,Tas,2946.840671
2017-18,NT,3119.202132
2017-18,ACT,4131.058927
2017-18,all states,4121.889046
2018-19,NSW,4486.41318
2018-19,Vic,4471.035224
2018-19,Qld,3621.90288
2018-19,SA,3560.192607
2018-19,WA,4223.201475
2018-19,Tas,3015.887938
2018-19,NT,3260.033455
2018-19,ACT,4569.630153
2018-19,all states,4175.13893
